filepath,persona,problem_num,run_num,leetcode_id,title,difficulty,category,cc_average,cc_max,cc_total,cc_blocks,mi_score,mi_rank,hal_vocabulary,hal_length,hal_volume,hal_difficulty,hal_effort,hal_time,hal_bugs,pylint_score,pylint_convention,pylint_refactor,pylint_warning,pylint_error,pylint_total_issues,bandit_high,bandit_medium,bandit_low,bandit_total,bandit_confidence_high,lines_of_code,blank_lines,comment_lines,has_docstring,has_type_hints
code_samples_n5/problem_001_lru_cache/vibecoder_run1.py,vibecoder,1,1,146,LRU Cache,Medium,System Design,1.625,3,13,8,52.07992210812791,A,10,11,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.012180403014586996,9.52,1,1,0,0,2,0,0,0,0,0,43,5,0,False,False
code_samples_n5/problem_001_lru_cache/vibecoder_run2.py,vibecoder,1,2,146,LRU Cache,Medium,System Design,1.625,3,13,8,52.07992210812791,A,10,11,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.012180403014586996,9.52,1,1,0,0,2,0,0,0,0,0,43,5,0,False,False
code_samples_n5/problem_001_lru_cache/vibecoder_run3.py,vibecoder,1,3,146,LRU Cache,Medium,System Design,1.5555555555555556,3,14,9,54.17021531014774,A,10,11,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.012180403014586996,7.88,6,1,0,0,7,0,0,0,0,0,34,6,0,False,False
code_samples_n5/problem_001_lru_cache/vibecoder_run4.py,vibecoder,1,4,146,LRU Cache,Medium,System Design,2.25,3,18,8,49.76006859179406,A,12,13,46.604512509375034,2.0,93.20902501875007,5.178279167708337,0.015534837503125011,7.78,9,1,0,0,10,0,0,0,0,0,42,5,0,False,False
code_samples_n5/problem_001_lru_cache/vibecoder_run5.py,vibecoder,1,5,146,LRU Cache,Medium,System Design,1.625,3,13,8,52.07992210812791,A,10,11,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.012180403014586996,8.57,5,1,0,0,6,0,0,0,0,0,43,5,0,False,False
code_samples_n5/problem_001_lru_cache/senior_run1.py,senior,1,1,146,LRU Cache,Medium,System Design,1.625,3,13,8,71.74059578216081,A,14,14,53.30296890880645,2.5,133.25742227201613,7.403190126223119,0.017767656302935482,7.92,9,1,0,0,10,0,0,0,0,0,101,27,3,True,True
code_samples_n5/problem_001_lru_cache/senior_run2.py,senior,1,2,146,LRU Cache,Medium,System Design,1.6,3,16,10,74.15924511919414,A,14,14,53.30296890880645,2.5,133.25742227201613,7.403190126223119,0.017767656302935482,6.27,18,1,0,0,19,0,0,0,0,0,98,29,6,True,True
code_samples_n5/problem_001_lru_cache/senior_run3.py,senior,1,3,146,LRU Cache,Medium,System Design,1.6,3,16,10,74.95322973447419,A,14,14,53.30296890880645,2.5,133.25742227201613,7.403190126223119,0.017767656302935482,8.0,9,1,0,0,10,0,0,0,0,0,93,26,5,True,True
code_samples_n5/problem_001_lru_cache/senior_run4.py,senior,1,4,146,LRU Cache,Medium,System Design,1.6,3,16,10,75.13465790475091,A,14,14,53.30296890880645,2.5,133.25742227201613,7.403190126223119,0.017767656302935482,8.0,9,1,0,0,10,0,0,0,0,0,91,27,3,True,True
code_samples_n5/problem_001_lru_cache/senior_run5.py,senior,1,5,146,LRU Cache,Medium,System Design,2.2,3,22,10,72.67466429498971,A,19,20,84.9585502688717,3.7916666666666665,322.1345031028052,17.896361283489178,0.028319516756290568,7.5,12,1,0,0,13,0,0,0,0,0,97,28,7,True,True
code_samples_n5/problem_002_min_stack/vibecoder_run1.py,vibecoder,2,1,155,Min Stack,Medium,System Design,1.3333333333333333,2,8,6,64.84542575228255,A,6,8,20.67970000576925,1.0,20.67970000576925,1.1488722225427361,0.006893233335256416,8.57,2,0,0,0,2,0,0,0,0,0,14,4,0,False,False
code_samples_n5/problem_002_min_stack/vibecoder_run2.py,vibecoder,2,2,155,Min Stack,Medium,System Design,1.3333333333333333,2,8,6,64.84542575228255,A,6,8,20.67970000576925,1.0,20.67970000576925,1.1488722225427361,0.006893233335256416,5.71,6,0,0,0,6,0,0,0,0,0,14,4,0,False,False
code_samples_n5/problem_002_min_stack/vibecoder_run3.py,vibecoder,2,3,155,Min Stack,Medium,System Design,1.3333333333333333,2,8,6,64.84542575228255,A,6,8,20.67970000576925,1.0,20.67970000576925,1.1488722225427361,0.006893233335256416,8.57,2,0,0,0,2,0,0,0,0,0,14,4,0,False,False
code_samples_n5/problem_002_min_stack/vibecoder_run4.py,vibecoder,2,4,155,Min Stack,Medium,System Design,1.3333333333333333,2,8,6,64.84542575228255,A,6,8,20.67970000576925,1.0,20.67970000576925,1.1488722225427361,0.006893233335256416,5.71,6,0,0,0,6,0,0,0,0,0,14,4,0,False,False
code_samples_n5/problem_002_min_stack/vibecoder_run5.py,vibecoder,2,5,155,Min Stack,Medium,System Design,1.3333333333333333,2,8,6,64.84542575228255,A,6,8,20.67970000576925,1.0,20.67970000576925,1.1488722225427361,0.006893233335256416,8.57,2,0,0,0,2,0,0,0,0,0,14,4,0,False,False
code_samples_n5/problem_002_min_stack/senior_run1.py,senior,2,1,155,Min Stack,Medium,System Design,2.1666666666666665,3,13,6,74.37643256239717,A,15,22,85.95159310338741,2.1818181818181817,187.53074858920888,10.418374921622716,0.02865053103446247,4.78,11,0,1,0,12,0,0,0,0,0,54,17,1,True,True
code_samples_n5/problem_002_min_stack/senior_run2.py,senior,2,2,155,Min Stack,Medium,System Design,2.5,4,15,6,69.8205196098953,A,22,28,124.86408532184433,3.0,374.592255965533,20.810680886974055,0.04162136177394811,3.91,12,0,2,0,14,0,0,0,0,0,54,18,2,True,True
